"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Announcement","Announcement","GET /api/v1/announcement/vip/","0","0","1","0","0"
"Notification","Read All","POST /api/v1/notification/notification/read-all/","0","0","1","0","0"
"Account","User","POST /api/v1/account/user/","0","0","2","0","0"
"Auth","OTP Verification","POST /api/v1/auth/verification/verify/","0","0","2","0","0"
"Account","Seller","GET /api/v1/account/seller/top/","0","0","1","0","0"
"Account","User","GET /api/v1/account/user/me/","0","0","2","0","0"
"Core","Health","GET /api/v1/core/celery_health/","0","0","1","0","0"
"Dictionary","District","GET /api/v1/dictionary/district/","0","0","2","0","0"
"Announcement","Announcement","PATCH /api/v1/announcement/{id}/","0","0","1","0","0"
"Dictionary","Region","GET /api/v1/dictionary/region/","0","0","2","0","0"
"Notification","Unread Count","GET /api/v1/notification/notification/unread-count/","0","0","2","0","0"
"Chat","Message","POST /api/v1/chat/message/{room_id}/","2","0","1","0","0"
"Notification","Notification List","GET /api/v1/notification/notification/","0","0","2","0","0"
"Chat","Room","DELETE /api/v1/chat/room/{id}/","1","0","1","0","0"
"Auth","Token Refresh","POST /api/v1/auth/token/refresh/","0","0","2","0","0"
"Chat","Message","DELETE /api/v1/chat/message/{message_id}/delete/","0","0","1","0","0"
"Announcement","Announcement","POST/DELETE /api/v1/announcement/like/{id}/","0","0","1","0","0"
"Chat","Room","GET /api/v1/chat/room/","0","0","2","0","0"
"Announcement","Announcement","GET /api/v1/announcement/{id}/","2","0","0","0","0"
"Account","Seller","GET /api/v1/account/seller/","0","0","3","0","0"
"Announcement","Announcement","DELETE /api/v1/announcement/{id}/","0","0","1","0","0"
"Announcement","Announcement","POST /api/v1/announcement/{id}/update/status/","0","0","1","0","0"
"Auth","OTP Verification","POST /api/v1/auth/verification/","0","0","2","0","0"
"Chat","Message","PATCH /api/v1/chat/message/{room_id}/read-all/","1","0","1","0","0"
"Notification","Device","POST /api/v1/notification/device/","0","0","2","0","0"
"Chat","Message","GET /api/v1/chat/message/unread-count/","0","0","2","0","0"
"Account","Seller","GET /api/v1/account/seller/announcement/own/","0","0","1","0","0"
"Notification","Read All","PATCH /api/v1/notification/notification/read-all/","0","0","1","0","0"
"Announcement","Announcement","GET /api/v1/announcement/","1","0","0","0","0"
"Announcement","Report","GET /api/v1/announcement/report/","0","0","2","0","0"
"Chat","Message","GET /api/v1/chat/message/{room_id}/","1","0","0","0","0"
"Dictionary","Country","GET /api/v1/dictionary/country/","0","0","2","0","0"
"Chat","Room","POST /api/v1/chat/room/","1","0","1","0","0"
"Announcement","Report","POST /api/v1/announcement/report/{id}/","0","0","2","0","0"
"Core","Health","GET /api/v1/core/health/","0","0","1","0","0"
"Announcement","Announcement","GET /api/v1/announcement/{id}/similar/","1","0","0","0","0"
